DateTime,SITE,OZONE,LATITUDE,LONGITUDE,TEMP_F,UNITS
2015-07-06 09:00,27-017-7417,0,46.713694,-92.511722,64.36,PPM
2015-07-13 04:00,27-017-7417,-1,46.713694,-92.511722,64.49,PPM
2015-07-13 08:00,27-017-7417,-2,46.713694,-92.511722,63.23,PPM
2015-07-13 09:00,27-017-7417,0,46.713694,-92.511722,61.49,PPM
2015-07-13 10:00,27-017-7417,0,46.713694,-92.511722,61.3,PPM
2015-07-13 18:00,27-017-7417,0,46.713694,-92.511722,71.22,PPM
2015-07-23 15:00,27-017-7417,0,46.713694,-92.511722,76.63,PPM
2015-08-17 15:00,27-017-7417,0,46.713694,-92.511722,64.15,PPM
2015-08-17 19:00,27-017-7417,0,46.713694,-92.511722,69.84,PPM
2015-08-17 21:00,27-017-7417,0,46.713694,-92.511722,71.45,PPM
2015-08-18 06:00,27-017-7417,-1,46.713694,-92.511722,52.8,PPM
2015-08-18 08:00,27-017-7417,0,46.713694,-92.511722,50.84,PPM
2015-08-18 19:00,27-017-7417,-1,46.713694,-92.511722,65.5,PPM
2015-08-18 20:00,27-017-7417,-1,46.713694,-92.511722,63.72,PPM
2015-08-19 07:00,27-017-7417,-1,46.713694,-92.511722,56.64,PPM
2015-08-19 08:00,27-017-7417,0,46.713694,-92.511722,56.66,PPM
2015-08-20 05:00,27-017-7417,0,46.713694,-92.511722,52.44,PPM
2015-08-20 18:00,27-017-7417,0,46.713694,-92.511722,61.13,PPM
2015-08-21 04:00,27-017-7417,0,46.713694,-92.511722,52.06,PPM
2015-08-21 05:00,27-017-7417,-2,46.713694,-92.511722,50.17,PPM
2015-08-21 06:00,27-017-7417,-3,46.713694,-92.511722,53.19,PPM
2015-08-23 23:00,27-017-7417,0,46.713694,-92.511722,57.53,PPM
2015-08-24 06:00,27-017-7417,0,46.713694,-92.511722,52.53,PPM
2015-08-24 10:00,27-017-7417,-1,46.713694,-92.511722,48.63,PPM
2015-08-24 11:00,27-017-7417,-1,46.713694,-92.511722,48.57,PPM
2015-08-25 04:00,27-017-7417,-1,46.713694,-92.511722,52.52,PPM
2015-08-25 21:00,27-017-7417,0,46.713694,-92.511722,65.76,PPM
2015-08-25 22:00,27-017-7417,0,46.713694,-92.511722,65.66,PPM
2015-08-26 08:00,27-017-7417,-1,46.713694,-92.511722,46.34,PPM
2015-08-26 09:00,27-017-7417,0,46.713694,-92.511722,46.05,PPM
2015-09-08 22:00,27-017-7417,0,46.713694,-92.511722,71.71,PPM
2015-09-12 04:00,27-017-7417,0,46.713694,-92.511722,46.25,PPM
2015-09-12 21:00,27-017-7417,0,46.713694,-92.511722,65.69,PPM
2015-09-20 21:00,27-017-7417,0,46.713694,-92.511722,68.38,PPM
2015-09-22 22:00,27-017-7417,0,46.713694,-92.511722,64.56,PPM
2015-09-26 05:00,27-017-7417,-1,46.713694,-92.511722,54.11,PPM
2015-09-30 05:00,27-017-7417,0,46.713694,-92.511722,36.93,PPM
2015-10-02 05:00,27-017-7417,0,46.713694,-92.511722,45.71,PPM
2015-10-03 05:00,27-017-7417,0,46.713694,-92.511722,48.99,PPM
2015-10-03 23:00,27-017-7417,0,46.713694,-92.511722,48.65,PPM
2015-10-04 00:00,27-017-7417,0,46.713694,-92.511722,46.59,PPM
2015-10-07 17:00,27-017-7417,0,46.713694,-92.511722,53.52,PPM
2015-10-09 01:00,27-017-7417,0,46.713694,-92.511722,48.54,PPM
2015-10-09 02:00,27-017-7417,0,46.713694,-92.511722,48.47,PPM
2015-10-09 07:00,27-017-7417,0,46.713694,-92.511722,40.32,PPM
2015-10-09 08:00,27-017-7417,0,46.713694,-92.511722,40.2,PPM
2015-10-12 19:00,27-017-7417,0,46.713694,-92.511722,46.93,PPM
2015-10-12 20:00,27-017-7417,-1,46.713694,-92.511722,46.9,PPM
2015-10-12 21:00,27-017-7417,0,46.713694,-92.511722,48.36,PPM
2015-10-13 01:00,27-017-7417,0,46.713694,-92.511722,46.47,PPM
2015-10-13 02:00,27-017-7417,0,46.713694,-92.511722,46.37,PPM
2015-10-17 23:00,27-017-7417,0,46.713694,-92.511722,46.14,PPM
2015-10-21 04:00,27-017-7417,0,46.713694,-92.511722,44.83,PPM
2015-10-23 06:00,27-017-7417,0,46.713694,-92.511722,43.1,PPM
2015-10-23 09:00,27-017-7417,0,46.713694,-92.511722,44.62,PPM
2015-10-24 06:00,27-017-7417,0,46.713694,-92.511722,46.47,PPM
2015-10-24 13:00,27-017-7417,0,46.713694,-92.511722,45.42,PPM
2015-10-24 14:00,27-017-7417,0,46.713694,-92.511722,45.41,PPM
2015-10-28 23:00,27-017-7417,0,46.713694,-92.511722,36.54,PPM
2015-10-30 00:00,27-017-7417,0,46.713694,-92.511722,41.55,PPM
2015-10-30 01:00,27-017-7417,-1,46.713694,-92.511722,41.38,PPM
2015-10-30 02:00,27-017-7417,0,46.713694,-92.511722,39.68,PPM
2015-10-30 03:00,27-017-7417,0,46.713694,-92.511722,39.68,PPM
2015-10-30 04:00,27-017-7417,0,46.713694,-92.511722,39.49,PPM
2015-10-30 05:00,27-017-7417,0,46.713694,-92.511722,39.38,PPM
2015-10-31 20:00,27-017-7417,0,46.713694,-92.511722,46.13,PPM
2015-10-31 21:00,27-017-7417,0,46.713694,-92.511722,45.42,PPM
2015-11-01 14:00,27-017-7417,0,46.713694,-92.511722,45.32,PPM
2015-11-01 15:00,27-017-7417,0,46.713694,-92.511722,46.21,PPM
2015-11-01 22:00,27-017-7417,0,46.713694,-92.511722,50.09,PPM
2015-11-01 23:00,27-017-7417,0,46.713694,-92.511722,48.17,PPM
2015-11-02 08:00,27-017-7417,0,46.713694,-92.511722,37.48,PPM
2015-11-06 02:00,27-017-7417,0,46.713694,-92.511722,43.1,PPM
2015-11-06 03:00,27-017-7417,0,46.713694,-92.511722,42.8,PPM
2015-11-06 08:00,27-017-7417,0,46.713694,-92.511722,37.49,PPM
2015-11-06 09:00,27-017-7417,-2,46.713694,-92.511722,37.56,PPM
2015-11-06 10:00,27-017-7417,0,46.713694,-92.511722,37.57,PPM
2015-11-06 11:00,27-017-7417,0,46.713694,-92.511722,37.57,PPM
2015-11-18 12:00,27-017-7417,0,46.713694,-92.511722,50.09,PPM
2015-11-20 05:00,27-017-7417,0,46.713694,-92.511722,25.24,PPM
2015-11-21 07:00,27-017-7417,0,46.713694,-92.511722,14.77,PPM
2015-11-21 08:00,27-017-7417,0,46.713694,-92.511722,13.14,PPM
2015-11-21 10:00,27-017-7417,0,46.713694,-92.511722,12.94,PPM
2015-11-21 16:00,27-017-7417,-1,46.713694,-92.511722,18.62,PPM
2015-11-22 00:00,27-017-7417,0,46.713694,-92.511722,14.98,PPM
2015-11-22 01:00,27-017-7417,0,46.713694,-92.511722,12.95,PPM
2015-11-22 02:00,27-017-7417,0,46.713694,-92.511722,12.75,PPM
2015-11-23 16:00,27-017-7417,-4,46.713694,-92.511722,33.99,PPM
2015-11-23 17:00,27-017-7417,0,46.713694,-92.511722,35.98,PPM
2015-11-27 05:00,27-017-7417,0,46.713694,-92.511722,19.14,PPM
2015-11-27 08:00,27-017-7417,0,46.713694,-92.511722,13.22,PPM
